count	reward_sum	squared_reward_sum	length
327	316.96416679397225	123.3785445349183	948
328	320.91932197101414	132.40916856963707	897
329	314.35120946820825	114.92725140513757	1022
330	199.5400046808645	10119.86177317851	896
331	-32.22792689292692	10027.51418866611	233
332	86.33353777229786	10073.045839520013	581
333	90.36936758179218	10078.462729514471	565
334	314.6249145566253	115.03958178996658	1028
335	15.65862744860351	10048.088212130076	359
336	321.2573394821957	135.66708214871846	880
337	57.82304765842855	10060.715814942469	511
338	-102.54119091201574	10000.841881519647	64
339	315.67368194274604	113.25346119090523	1042
340	318.693969367072	124.23289242923963	964
341	320.77024064958096	128.50658822692407	922
342	319.55980455037206	131.47202109180924	907
343	319.81536885071546	136.88157700355697	875
344	319.45336257852614	129.20288253943417	913
345	167.63222827203572	10110.361713300032	767
346	321.5151897761971	140.60752263716637	848
347	321.6744143059477	133.63274471373117	876
348	320.4904894614592	130.92179969935967	892
349	10.737765516154468	10048.595606833287	353
350	320.9304946437478	130.61314699059136	906
351	60.442836470436305	10071.651961439733	439
352	322.05372767709196	135.5098820665536	872
353	-2.1558719272725284	10039.029517039167	321
354	323.3049568105489	143.1834043004943	821
355	322.35764399170876	155.81111570925128	763
356	319.6103365011513	132.12205695257273	907
357	320.81198275089264	135.3703863834392	875
358	-14.418648477643728	10036.150708475516	265
359	39.74513105722144	10059.336340170903	421
360	191.12065500114113	10135.42638126102	718
361	321.05294493585825	140.07411874762724	843
362	62.33338302746415	10068.670817340198	468
363	208.3857586523518	10132.697384715148	835
364	321.30567955970764	135.49237912779495	876
365	324.1711433539167	145.67683090745663	821
366	321.20905716344714	137.63120959154372	864
367	321.9224515231326	138.5155605784698	852
368	318.39022313058376	127.55292265589259	913
369	-1.022845046594739	10044.63500260676	300
370	319.12951544998214	128.63561802435436	921
371	321.6164326798171	138.3910064918335	857
372	320.3238854929805	131.80292134663102	899
373	152.67327042401303	10113.91767387453	676
374	69.72204968612641	10076.515997648643	464
375	322.81349858641624	140.6380216936785	856
376	210.69742197729647	10135.49749986656	809
377	320.3413994326256	134.97592112315155	876
378	320.4872428383678	135.95992646894166	879
379	172.9316402040422	10117.911658719253	730
380	321.25111713819206	136.6180311886455	886
381	321.5155368130654	139.57180934991797	872
382	323.19686783012	148.97174886171473	809
383	317.8921797648072	135.8806006368939	913
384	319.8621089393273	138.1210002240229	879
385	319.8812186047435	133.7645037274453	893
386	320.66198493540287	135.72060214495747	886
387	318.38215537462384	130.38903788516728	925
388	320.7808013316244	138.0201807846479	873
389	320.409357492812	137.65396167179844	860
390	137.7448750147596	10105.195105406707	626
391	194.35469602234662	10118.883553167103	850
392	91.07276702672243	10077.947283531039	567
393	33.98480952018872	10062.755704801833	350
394	322.0009181825444	138.76171118083943	859
395	147.8421142473817	10108.461232622596	658
396	321.5320162139833	140.32813938232303	854
397	322.242352174595	149.16868861852723	801
398	321.8806412583217	143.21539617060193	832
399	320.3356958674267	141.43943356365665	853
400	320.4839930059388	135.96942365452006	867
401	320.828230781015	141.15482945474312	839
402	319.95167364925146	137.93372766085008	870
403	321.8496947688982	146.7227582682172	809
404	321.53392399754375	140.76216073814498	846
405	322.65586497820914	147.27414832787017	816
406	27.315366183407605	10063.424789272893	384
407	321.16390462964773	138.02968846003176	862
408	322.31927312072366	143.15568747290826	825
409	322.14855559170246	139.63678071651185	847
410	322.53016391582787	142.78205972387929	822
411	324.9162583258003	152.11082037917632	774
412	324.3230799306184	154.1303956208124	764
413	323.4779783617705	151.84504939837075	775
414	325.17319118231535	155.90776424163298	766
415	325.4826966561377	150.09017632169625	786
416	326.7430913615972	160.21891649396187	746
417	324.0674712723121	146.81413182338557	810
418	324.44889505393803	147.1103707513986	806
419	324.9940619515255	148.37970942329622	810
420	324.0104142315686	148.70801682464037	811
421	77.23067057691514	10079.087815661265	462
422	325.2398223821074	153.3289231353039	776
423	325.83743509091437	155.50053776607226	772
424	179.0667532067746	10124.0628432971	707
425	327.565785641782	158.77766362810624	752
426	192.80440102610737	10137.508047289433	710
427	325.70006925892085	148.84328051730876	801
428	326.4238824797794	157.63887837998575	765
429	326.864364198409	161.56801739939758	758
430	326.5301188947633	161.8679246059687	744
431	327.6096718851477	162.44880583432848	733
432	325.5539334639907	155.00018579322574	768
433	90.97572220861912	10093.043941903989	454
434	-77.34175620228052	10009.870525479542	104
435	200.0398146547377	10147.093238576488	692
436	327.9005407691002	157.1241404413483	766
437	327.81704082898796	157.6270253440229	758
438	327.26714498735964	158.40779339775207	749
439	327.8758486350998	161.32244754770315	746
440	179.41648455616087	10139.116494669477	636
441	-9.516175830736756	10041.461269843252	254
442	214.15790651924908	10159.708553114635	690
443	144.53487884998322	10125.952104503021	557
444	326.337132520508	156.3978910485664	776
445	325.9841451141983	153.9292094906295	779
446	328.1675154026598	162.13218985615902	739
447	327.1734788408503	161.96653087604415	745
448	324.98878228105605	159.66393025249656	750
449	326.36961915064603	159.0067113310702	764
450	29.59126239363104	10060.419884485913	333
451	327.61060945969075	160.51725447287728	741
452	328.4367276588455	168.3468001486552	708
453	328.59517758339643	162.13333475662256	742
454	327.1882103327662	158.02908337899098	756
455	326.5888501498848	159.41758541782468	746
456	329.0285719023086	165.49201446922285	723
457	325.97580528166145	162.93120864863468	741
458	131.49148246087134	10115.405122860917	537
459	327.5976977904793	160.510010474936	741
460	24.703862882219255	10060.477210009996	319
461	327.4486049748957	163.5879084383098	736
462	326.3645150968805	166.25553242475485	728
463	328.9465128481388	163.0375280738814	750
464	103.81665856856853	10101.503005705297	476
465	328.6903977477923	168.39369429946947	714
466	88.03711464814842	10094.297414895376	436
467	327.7130847796798	164.7486462088064	737
468	329.19824597332627	172.02087323850552	702
469	53.86506654880941	10075.765008283204	376
470	327.96555252792314	165.88746727328981	726
471	327.9108017401304	163.15520529430177	741
472	183.59355920180678	10142.459126596503	636
473	-14.455732898786664	10040.45009610116	240
474	31.379768827930093	10065.859518213874	323
475	327.659376998432	164.39667882019705	747
476	326.3437711568549	152.21266382022748	789
477	327.92491772025824	163.42166679694742	737
478	326.2242229934782	158.839411156057	755
479	67.11048710998148	10084.133257362691	392
480	328.46718734223396	156.33211005757482	770
481	326.0971880722791	154.4836527223758	774
482	328.3516069147736	167.0351699947676	712
483	152.388530600816	10122.616548324686	584
484	328.78753894148394	166.6988144043227	729
485	328.4717000722885	170.04556038689955	707
486	322.15424728021026	158.22027802785018	741
487	203.45415901951492	10153.488677730504	678
488	13.019684521481395	10052.435414630552	299
489	167.34217545669526	10134.284932324883	599
490	8.290554522536695	10051.357806465214	284
491	325.63376377895474	165.12262954286	714
