count	reward_sum	squared_reward_sum	length
175	-115.24489540107486	10005.521006867706	46
176	-118.37246894608965	10006.921921343921	54
177	-117.77697074712286	10006.11465691863	56
178	-117.62200116382787	10006.44679232783	55
179	-123.3144343998654	10010.381194573121	58
180	-116.15310241487063	10005.571086689013	51
181	-115.69267890930843	10005.370915328862	50
182	-117.3041889212861	10006.150518350672	55
183	-120.8639548577303	10008.263751927581	58
184	-118.38959185260504	10007.072671361444	53
185	-114.66790439665442	10004.617223336163	53
186	-119.4201279887706	10007.729997332168	54
187	-118.68984214159411	10007.30816782153	55
188	-119.53791882649001	10007.5599345847	56
189	-115.02005223624222	10004.639966936991	55
190	-118.61914263508376	10006.9892882191	55
191	-121.61930183797818	10008.665321097862	59
192	-115.9316781394983	10005.25855976506	55
193	-122.68247151600693	10009.601501502078	60
194	-119.74569243615711	10007.84387007329	56
195	-118.7289225200722	10007.269431607427	53
196	-117.39518936108969	10006.218985704383	55
197	-113.40338349135229	10004.051539303287	50
198	-119.16919069291217	10007.739987377656	53
199	-129.2093185902667	10012.290984071953	185
200	-116.34505076879636	10005.908660623742	51
201	-113.62176577826047	10003.720322064517	58
202	-111.97015318595618	10003.114396617852	60
203	-124.6837480957846	10008.55916255819	221
204	-117.63106886042934	10006.520740548844	53
205	-116.71589328759225	10006.327348514673	51
206	-111.46653004987802	10002.94931606284	56
207	-131.75870783323577	10012.86972679637	121
208	-121.19214024231178	10008.45057745999	58
209	-120.86636022553468	10009.09444637224	54
210	-105.31337404414336	10002.790731207611	58
211	-109.55563571547282	10003.099291736513	33
212	-129.84619335681674	10011.827657389504	141
213	-121.9014931968761	10008.52462438683	84
214	-108.31928654958556	10002.302457376476	35
215	-109.8820050009136	10003.254054992936	34
216	-106.12364587778364	10004.57740148991	398
217	-130.6917456072752	10008.251864419697	203
218	-107.07647694736198	10003.180379287152	133
219	-109.69312589536041	10003.085064861007	103
220	-103.54441404028162	10003.41809440106	264
221	-103.8658818343839	10000.966141913459	74
222	-113.83788707621054	10005.94957419274	54
223	-107.16018581927878	10001.186549072056	57
224	-101.88744489560136	10001.762745543969	73
225	-123.96640683968847	10009.036401588297	153
226	-86.67366400894554	10007.741652303837	143
227	-101.2211045081693	10000.95856021796	72
228	-100.65466644257617	10000.830497275012	97
229	-104.03579511160139	10001.054537280404	67
230	-102.3920473227343	10000.673409503348	74
231	-111.36333532103471	10005.032728355414	106
232	-112.11177335852354	10004.125149246229	54
233	-102.50851662687117	10000.567657312262	61
234	-100.95810761798452	10000.621508065853	62
235	-97.08103011532003	10001.536895775416	85
236	-100.96643110241058	10000.513410265581	73
237	-98.39886080631427	10001.027865822227	76
238	-102.00744150885784	10000.460408429517	52
239	-102.38292837456713	10001.318795656374	69
240	-100.29096364151034	10001.567696003143	74
241	-97.92189096672833	10002.050516316765	97
242	-101.07677534076835	10001.25633709618	119
243	-100.50301408608522	10003.994973606728	203
244	-113.24530405703334	10004.160521792857	71
245	-88.56143817429978	6.377254019017963	2000
246	-101.9733198488953	10002.74894855571	110
247	-109.1253978726066	10002.73240299641	84
248	-110.04945450836001	10002.67417783774	70
249	-165.0160800284166	10015.000759917022	1843
250	-117.85775753471857	10011.219391193505	641
251	-152.18411771298835	10015.312513969087	1588
252	-102.79024176668983	10016.912383254195	502
253	-70.26165764231234	14.685622867254782	2000
254	-90.93356935236983	16.15591182178477	2000
255	-97.1766313479416	10007.978288324635	379
256	-110.95359931258903	10003.081349249958	45
257	-111.22942687026527	10003.02190429395	48
258	-156.46473385054492	10011.048825088421	1378
259	-123.44973851465349	10007.567005117127	130
260	-118.57383922497105	10007.510795417207	58
261	-113.48453030842575	10004.026728691168	51
262	-111.97284378846238	10003.292324068652	49
263	-114.64438083565103	10005.263422817945	53
264	-117.9858316718128	10006.513727423917	60
265	-111.61934550326787	10003.333703451355	46
266	-123.69800985988044	10007.429123716707	94
267	-113.23032952056585	10003.859215787987	52
268	-113.74048546067316	10003.996738787333	53
269	-112.65955397773584	10003.578760799921	53
270	-112.5783101668836	10003.443133190947	52
271	-72.10871345011556	25.08089733215095	2000
272	-115.85237147076583	10005.034721836588	63
273	-115.38335610451736	10005.028214347813	58
274	-114.25352204689415	10005.049023477339	48
275	-120.16975708255242	10008.787180449448	61
276	-114.82302464467612	10003.696893515002	70
277	-118.09866850918462	10006.863451008696	59
278	-119.79266854634322	10009.663957206987	59
279	-122.18732620937006	13.681151369591324	2000
280	-135.08144900841543	10008.786738494355	1094
281	-74.75282545806937	6.9318274568609	2000
282	-115.19786949163799	12.633744442476365	2000
283	-170.25042724335464	10017.417604445878	1667
284	-74.46260199033962	20.68689229136008	2000
285	-74.4207848833075	15.054144425268694	2000
286	-163.4122865802084	10013.89556244863	1789
287	-160.63603404309993	10017.910242364242	1643
288	-151.91328852413858	10018.167440029021	722
289	-124.0100832123398	10006.924911663415	108
290	-191.54096820569256	10019.413965576132	1843
291	-106.08536377829473	10003.366821469464	215
292	-103.5780517298535	10002.571358348896	260
293	-150.88049216518274	10027.756959533841	1440
294	-99.9038052732762	10003.892219278736	176
295	-219.37572782463403	10028.049916759564	1843
296	-118.5485346411151	14.430159368758432	2000
297	-97.2217220824489	15.854981902692195	2000
298	-156.86325200117378	10015.204991343211	1751
299	-74.81399711330444	15.470502149628812	2000
300	-131.0468884087681	10014.307789745322	110
301	-67.88576445419972	12.433681422138788	2000
302	-87.15813698588852	10.66737878088082	2000
303	-101.64163735749167	10.018784371204562	2000
304	-94.21827580251451	11.288985816383972	2000
305	-87.92451609536273	8.504505947329859	2000
306	-83.34958111721781	8.988721974837901	2000
307	-143.08068941940826	10013.650111213306	835
308	-77.84232996817886	12.491814504810558	2000
309	-125.55891979103737	10010.202087439346	636
310	-88.44538356904744	10007.104720094778	169
311	-73.95877617041964	13.028262782263983	2000
312	-114.7798469693135	10018.108629294204	1433
313	-121.07210518236465	10007.036127813948	77
314	-92.10837303272237	12.51338296761719	2000
315	-104.48325693632526	10005.272408579302	511
316	-85.93602410818208	9.714559589451582	2000
317	-79.1930009509393	9.69257877999153	2000
318	-85.78138326227835	10006.473653853645	236
319	-84.65640974873196	10003.134391183556	209
320	-95.03485212373634	10002.64450256954	158
321	-88.47867815536478	10005.50048861778	191
322	-93.45357855110181	10002.600476237254	112
323	-59.52175267276904	4.571026882637814	2000
324	-205.154873052202	10039.80814015978	1696
325	-131.1598760600222	9.987810354597602	2000
326	-99.45730302854007	10002.926046893084	105
327	-106.88790125443731	11.401613333332314	2000
328	-110.20149437147239	12.652143790526475	2000
329	-112.53498784717522	18.31317779711133	2000
330	-95.3908803530585	18.99126245711935	2000
331	-109.52741598252626	10002.546022896651	79
332	-95.58920838135795	10002.312233423792	114
333	-143.36937874524497	10011.024019296008	1251
334	-108.5701947884148	10004.311995225144	424
335	-85.33620199573012	10004.946336817571	243
336	-88.83077029424254	10003.560273130912	176
337	-100.75705453918766	28.740372557396856	2000
338	-90.37726752037132	10003.184593242453	185
339	-56.292520989803776	7.441544340920055	2000
340	-120.04773664208346	10010.706365711523	118
341	-66.89233064572157	11.591467297291258	2000
342	-93.18081206121164	13.851521586112682	2000
343	-106.3656811449507	10005.04722549244	365
344	-121.44412730562512	10.033043586872536	2000
345	-92.12882826042336	10002.466987478043	107
346	-125.97103802490943	10008.248921666898	1195
347	-118.13074352492104	10004.332853886399	93
348	-108.627301091063	10007.002063797136	388
349	-113.32152035271044	10008.675702202621	841
